"CMMS_ASSET_ID","STREET_NAME","STREET_NUMBER","PI_TAG","bad_tag","TR_PLANT","BASIN","AREA_FT2","STATION_NAME","TEMPLATE"
"LS-004352","DURBANS POINT PL","12512","NORTH:DUR12512",FALSE,"CEDAR BAY","CEDAR BAY",50.27,"DURBANS POINT PL - 12512","_cte_leadsp"
"LS-004358","REFLECTIONS AVE","86","STJOHNS:REF86",FALSE,"GREENLAND","GREENLAND",63.62,"REFLECTIONS AVE - 86","_cte_leadsp"
"LS-004370","JUNIPER HILLS DR","658","STJOHNS:JUN658",FALSE,"BLACKS FORD","BLACKS FORD",63.62,"JUNIPER HILLS DR - 658","_cte_leadsp"
"LS-004384","GRAND LAKES DR","157","STJOHNS:GRA157",FALSE,"BLACKS FORD","BLACKS FORD",50.27,"GRAND LAKES DR - 157","_cte_leadsp"
"LS-004399","SPOTTED SEA DR","10076","STJOHNS:SPO10076",FALSE,"BUCKMAN","BUCKMAN",50.27,"SPOTTED SEA DR - 10076","_cte_leadsp"
"LS-004400","BUSTO CIR","7094","WEST:BUS7094",FALSE,"SOUTHWEST","SOUTHWEST",50.27,"BUSTO CIR - 7094","_cte_leadsp"
"LS-004349","DRIFTWOOD CT","75425","NASSAU:DRI75425",FALSE,"NASSAU","NASSAU",50.2654824574367,"DRIFTWOOD CT - 75425","_cte_leadsp"
"LS-004355","BLACKROCK COVE WAY","96736","NASSAU:BLA96736",FALSE,"NASSAU","NASSAU",50.27,"BLACKROCK COVE WAY - 96736","_cte_leadsp"
"LS-001791","PONTE VEDRA BLVD","216","STJOHNS:PON216",FALSE,"PONTE VEDRA","PONTE VEDRA",63.62,"PONTE VEDRA BLVD - 216","_cte_leadsp"
"LS-004359","STILLPOINT WAY","96382","NASSAU:STI96382",FALSE,"NASSAU","NASSAU",50.27,"STILLPOINT WAY - 96382","_cte_leadsp"
"LS-004373","DEL WEBB PKWY","1013","NASSAU:DEL1013",FALSE,"NASSAU","NASSAU",50.27,"DEL WEBB PKWY - 1013","_cte_leadsp"
"LS-000719","DETAILLE DR","4735","NORTH:DET4735",TRUE,"BUCKMAN","BUCKMAN",50.3,"DETAILLE DR - 4735","_cte_lead"
"LS-001184","KERNAN BLVD N","102","EAST:KER102-1",FALSE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"KERNAN BLVD N - 102","_cte_leadsp"
"LS-004149","TOWN VIEW DR","11178","SOUTH:TOW11178",FALSE,"GREENLAND","GREENLAND",50.27,"TOWN VIEW DR - 11178","_cte_leadsp"
"LS-004224","WABASH BLVD","5343","WEST:WAB5343",FALSE,"BUCKMAN","BUCKMAN",50.3,"WABASH BLVD - 5343","_cte_leadsp"
"LS-004301","GRETA CT","5812","NORTH:GRE5812",FALSE,"BUCKMAN","BUCKMAN",50.3,"GRETA CT - 5812","_cte_leadsp"
"LS-004301","GRETA CT","5812","NORTH:GRE5812",FALSE,"BUCKMAN","BUCKMAN",50.3,"GRETA CT - 5812","_cte_leadsp"
"LS-004347","WIND ROW DR","14101","STJOHNS:WIN14101",FALSE,"MANDARIN","MANDARIN",50.27,"WIND ROW DR - 14101","_cte_leadsp"
"LS-004366","LILIAS CIR","8574","WEST:LIL8574",FALSE,"BUCKMAN","BUCKMAN",50.27,"LILIAS CIR - 8574","_cte_leadsp"
"LS-004368","CAIDEN DR","750","STJOHNS:CAI750",FALSE,"GREENLAND","GREENLAND",50.2654824574367,"CAIDEN DR - 750","_cte_leadsp"
"LS-004378","ELMO LN","8699","WEST:ELM8699",FALSE,"SOUTHWEST","SOUTHWEST",50.27,"ELMO LN - 8699","_cte_leadsp"
"LS-004394","RACE TRACK RD","4636","STJOHNS:RAC4636",FALSE,"BLACKS FORD","BLACKS FORD",63.62,"RACE TRACK RD - 4636","_cte_leadsp"
"LS-004379","LINGER LONGER AVE","504","NASSAU:LIN504",FALSE,"NASSAU","NASSAU",78.54,"LINGER LONGER AVE - 504","_cte_leadsp"
"LS-004408","EVER RANGE PKWY","12297","STJOHNS:EVE12297",FALSE,"GREENLAND","GREENLAND",63.62,"EVER RANGE PKWY - 12297","_cte_leadsp"
"LS-001789","POMPANO DR","5838","EAST:POM5838",TRUE,"MONTEREY","MONTEREY",113.1,"POMPANO DR - 5838","_cte_lead"
"LS-000160","ATLANTIC BLVD","12570","EAST:ATL12570",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"ATLANTIC BLVD - 12570","_cte_lead"
"LS-001788","POINT PARK DR","12621","EAST:POI12621",TRUE,"ARLINGTON EAST","ARLINGTON EAST",28.3,"POINT PARK DR - 12621","_cte_lead"
"LS-000432","BLUE EAGLE WAY","12668","EAST:BLU12668",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"BLUE EAGLE WAY - 12668","_cte_lead"
"LS-001437","MEADOWSWEET LN","12785","EAST:MEA12785",TRUE,"ARLINGTON EAST","ARLINGTON EAST",50.3,"MEADOWSWEET LN - 12785","_cte_lead"
"LS-001973","SAN JOSE BLVD","5000","EAST:SAN5000",FALSE,"BUCKMAN","BUCKMAN",38.5,"SAN JOSE BLVD - 5000","_cte_leadsp"
"LS-001688","PATSY ANNE DR","2450","EAST:PAT2450",TRUE,"BUCKMAN","BUCKMAN",28.3,"PATSY ANNE DR - 2450","_cte_lead"
"LS-001867","RICHARD ST","4903","EAST:RIC4903",TRUE,"BUCKMAN","BUCKMAN",28.3,"RICHARD ST - 4903","_cte_lead"
